Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
A03010	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
A03011	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A03012	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A03013	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A03015	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A03016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A03017	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
A03019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A04001	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A04002	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A04003	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A04004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A04006	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A04007	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
A04008	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1
A04009	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A04010	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A04011	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A04013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A04014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A04016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A04017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
A04018	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A04020	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A05001	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
A05003	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
A05005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A05006	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
A05012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A05013	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A05014	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A05015	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
A05016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A05017	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
A05018	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
A05021	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A05022	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
A05023	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A05027	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A05028	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A05031	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
A05033	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
A05034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
A05036	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05039	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A05040	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A05041	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A05042	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A05044	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A05045	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A05047	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
A05048	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A05049	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
A05050	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A05052	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A05053	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0
A05054	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A05057	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0
A05058	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0
A05059	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
A05063	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
A05064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A05067	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
A05068	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A05069	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
A05070	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
A05071	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
A05073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A05074	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A05075	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
A05076	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A05077	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
A05080	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0
A05081	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A05082	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A05083	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
A05086	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
A05087	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
A05088	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0
A05089	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
A05090	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A05091	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05092	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
A05093	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
A05095	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
A05096	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
A05097	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A05098	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A05099	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A06002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
A06003	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A06004	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A06005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A06008	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A06010	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
A06011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A06015	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
A06017	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A06019	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A06020	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1
A07001	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1
A07006	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
A07007	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
A07008	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
A07009	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
A07010	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
A07011	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
A07012	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
A07014	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
A07016	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A07018	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0
A07019	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
A07020	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
A07021	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A07022	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
A07023	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A07025	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
A07026	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1
A07031	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
A07032	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1
A07033	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A07034	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A07036	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1
A07037	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1
A07038	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1
A07039	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1
A07043	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
A07044	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A07045	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
A07046	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A07047	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A07049	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0
A07050	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
A07051	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1
A07053	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
A07054	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A07055	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0
A07057	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
A07058	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A07059	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
A07060	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
A07061	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
A07062	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
A07063	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
A07066	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
A07067	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1
A07068	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A07069	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
A07072	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1
A07073	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0
A07074	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
A07075	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
A07076	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0
A07077	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
A07079	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
A07080	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
A07082	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A07084	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A07087	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A07089	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
A07091	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A07092	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A07093	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A07094	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A07095	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A07096	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A07097	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	1
A07098	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A08001	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A08003	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1
A08005	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A08006	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
A08007	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A08009	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A08011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A08012	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A08013	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A08014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
A08016	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A08018	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A08019	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
A08020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
A09001	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A09002	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1
A09003	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
A09004	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
A09005	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1
A09006	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A09007	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
A09008	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
A09009	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A09010	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
A09011	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A09012	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A09013	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
A09014	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1
A09015	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1
A09017	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
A09018	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
A09021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A09022	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A09023	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A09024	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A09025	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A09026	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A09027	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0
A09028	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
A09029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A09030	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A09031	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A09033	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0
A09035	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A09036	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
A09037	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
A09038	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A09039	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1
A09040	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A09042	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A09043	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A09045	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
A09046	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
A09048	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
A09051	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A09053	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0
A09058	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0
A09060	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0
A09061	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A09062	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
A09063	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A09064	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
A09067	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1
A09069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
A09070	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
A09071	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
A09072	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A09073	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
A09076	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A09077	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0
A09079	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0
A09080	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1
A09082	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0
A09083	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A09085	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
A09086	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
A09089	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A09091	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A09093	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
A09094	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A09096	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
A09097	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
A09098	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A09100	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A10002	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
A10003	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
A10004	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
A10005	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A10007	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
A10009	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
A10011	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A10012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A10013	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
A10014	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A10015	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
A10016	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A10017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A10018	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A10020	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A12001	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A12002	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
A12003	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A12004	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0
A12005	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
A12006	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
A12007	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
